Date,commodity1,commodity2,zscore,signal,status,buy price,sell price,mtm,pnl,Cointegration test
2014-11-06,127.1,122.45,1.863817597922853,,,,,,0,No
2014-11-07,128.3,124.1,1.2487301433463558,,,,,,0,No
2014-11-10,127.0,124.8,0.22728894429774457,,,,,,0,No
2014-11-11,126.05,125.65,-0.7055002047373358,,,,,,0,No
2014-11-12,126.8,125.8,-0.6435647501689955,,,,,,0,No
2014-11-13,127.5,125.75,-0.518001688126954,,,,,,0,No
2014-11-14,126.1,124.15,-0.528065587310239,,,,,,0,No
2014-11-17,125.85,126.0,-2.0776498212419883,,,,,,0,No
2014-11-18,126.3,126.05,-1.3218755962372435,,,,,,0,No
2014-11-19,124.95,124.7,-1.0740338871157962,,,,,,0,No
2014-11-20,126.15,126.1,-1.0088364566357828,,,,,,0,No
2014-11-21,126.55,125.95,-0.460728969925751,,,,,,0,No
2014-11-24,127.15,126.1,0.2656872097637222,,,,,,0,No
2014-11-25,127.85,126.95,0.2602306144741403,,,,,,0,No
2014-11-26,128.9,126.55,2.3321463183694493,,,,,,0,No
2014-11-27,129.3,127.4,1.190453617971352,,,,,,0,No
2014-11-28,127.25,127.6,-1.5151987395865387,,,,,,0,No
2014-12-01,125.85,127.05,-2.2748151020697236,,,,,,0,No
2014-12-02,126.0,128.05,-2.674796382086568,,,,,,0,No
2014-12-03,122.0,125.95,-3.483434428044093,,,,,,0,No
2014-12-04,121.65,125.45,-2.0934244189692635,,,,,,0,No
2014-12-05,122.95,126.25,-1.3394827062843564,,,,,,0,No
2014-12-08,122.4,126.2,-1.3192189281348266,,,,,,0,No
2014-12-09,120.85,125.95,-1.656761007409793,,,,,,0,No
2014-12-10,121.6,125.5,-0.8200961838105041,,,,,,0,No
2014-12-11,121.35,125.25,-0.679340791138293,,,,,,0,No
2014-12-12,120.85,123.95,-0.0060640072593802,,,,,,0,No
2014-12-15,120.65,124.5,-0.45788622452806205,,,,,,0,No
2014-12-16,121.65,124.7,0.8183507365118786,,,,,,0,No
2014-12-17,120.8,122.05,4.553558630079419,,,,,,0,No
2014-12-18,120.7,118.95,5.74215301600975,,,,,,0,No
2014-12-19,119.25,116.45,3.2112729086324774,,,,,,0,No
2014-12-22,119.8,119.25,1.1430353911182132,,,,,,0,No
2014-12-23,118.15,118.05,0.7628907565782475,,,,,,0,No
2014-12-24,117.5,117.6,0.5193921634749042,,,,,,0,No
2014-12-26,117.25,118.1,0.04400849536746774,,,,,,0,No
2014-12-29,117.0,117.6,0.02888613785784821,,,,,,0,No
2014-12-30,117.25,115.4,1.2435063956028871,,,,,,0,No
2014-12-31,117.35,119.85,-1.6396065091421446,,,,,,0,No
2015-01-01,116.85,117.7,-0.6803456364897822,,,,,,0,No
2015-01-02,117.25,118.05,-0.6824182228961543,,,,,,0,No
2015-01-05,115.7,118.9,-2.230947435092099,,,,,,0,No
2015-01-06,114.75,117.2,-1.3528214909971215,,,,,,0,No
2015-01-07,112.6,117.2,-2.682461190068206,,,,,,0,No
2015-01-08,112.65,116.45,-1.4192465060204975,,,,,,0,No
2015-01-09,113.85,115.75,-0.0791717938941509,,,,,,0,No
2015-01-12,112.25,115.55,-0.8300533983711612,,,,,,0,No
2015-01-13,112.0,115.4,-0.738112237278237,,,,,,0,No
2015-01-14,110.85,112.75,0.6060291513559115,,,,,,0,No
2015-01-15,110.2,108.8,3.4140974927363366,,,,,,0,No
2015-01-16,110.3,109.1,2.2055388414797314,,,,,,0,No
2015-01-19,113.3,113.8,0.8662791904624424,,,,,,0,No
2015-01-20,111.85,114.05,-0.15927289105515474,,,,,,0,No
2015-01-21,114.1,117.4,-0.696640670985762,,,,,,0,No
2015-01-22,115.65,117.2,0.13335334112767558,,,,,,0,No
2015-01-23,114.4,115.05,0.5287633654796272,,,,,,0,No
2015-01-27,112.3,112.25,0.8626024839878936,,,,,,0,No
2015-01-28,114.05,114.1,0.6340964710645506,,,,,,0,No
2015-01-29,112.8,114.55,-0.7115347898907957,,,,,,0,No
2015-01-30,112.45,115.3,-1.506845671703392,,,,,,0,No
2015-02-02,115.35,115.55,0.7091080542514154,,,,,,0,No
2015-02-03,115.2,114.05,2.139376076577652,,,,,,0,No
2015-02-04,116.2,114.4,2.1666569211199813,,,,,,0,No
2015-02-05,115.6,115.3,0.6662601155729735,,,,,,0,No
2015-02-06,116.0,114.15,1.6860607849334532,,,,,,0,No
2015-02-09,115.85,114.85,0.734593783233647,,,,,,0,No
2015-02-10,115.85,114.9,0.5761970058339599,,,,,,0,No
2015-02-11,114.1,114.3,-0.28712195535371016,,,,,,0,Yes
2015-02-12,113.15,112.25,0.4956699564518892,,,,,,0,Yes
2015-02-13,114.0,113.7,-0.12664519741852184,,,,,,0,Yes
2015-02-16,113.95,114.25,-1.5731321189178853,,,,,,0,Yes
2015-02-17,112.8,113.8,-2.532468055309505,Buy,Buy,112.8,113.8,,0,Yes
2015-02-18,112.55,111.05,1.1291332155851384,,Buy,112.8,113.8,12500.0,0,Yes
2015-02-19,112.85,111.85,0.5843605207700171,,Buy,112.8,113.8,10000.0,0,Yes
2015-02-20,112.25,111.0,0.8055311768093758,,Buy,112.8,113.8,11250.0,0,Yes
2015-02-23,111.35,109.05,2.378874928787395,Sell,Buy,112.8,113.8,16499.999999999985,0,Yes
2015-02-24,110.75,109.05,1.1426019428584566,,Buy,112.8,113.8,13500.000000000015,0,Yes
2015-02-25,111.5,109.2,1.6133040491395745,,Buy,112.8,113.8,16499.999999999985,0,Yes
2015-02-26,110.75,107.55,2.2159204469443408,Sell,TP,,,21000.000000000015,21000.000000000015,Yes
2015-02-27,111.85,109.35,1.0445732707147537,,,,,,21000.000000000015,Yes
2015-03-02,112.4,107.7,2.6698920494244063,Sell,Sell,107.7,112.4,,21000.000000000015,Yes
2015-03-03,111.8,108.6,0.886252719247039,,CB,,,7500.0,28500.000000000015,No
2015-03-04,111.35,108.8,0.1786646685546607,,,,,,28500.000000000015,Yes
2015-03-05,112.45,111.25,-1.2557290761580024,,,,,,28500.000000000015,Yes
2015-03-09,111.95,114.55,-5.0325751388980455,Buy,Buy,111.95,114.55,,28500.000000000015,Yes
2015-03-10,112.0,115.7,-3.1759534711257538,Buy,Buy,111.95,114.55,-5500.000000000043,28500.000000000015,Yes
2015-03-11,110.8,114.6,-2.1204810480264578,Buy,Buy,111.95,114.55,-6000.000000000014,28500.000000000015,Yes
2015-03-12,109.8,113.4,-1.5512069291432873,,Buy,111.95,114.55,-5000.000000000072,28500.000000000015,Yes
2015-03-13,109.65,114.2,-1.5347216821253886,,Buy,111.95,114.55,-9750.000000000015,28500.000000000015,Yes
2015-03-16,111.8,111.95,0.0676362136872586,,Buy,111.95,114.55,12249.999999999942,28500.000000000015,Yes
2015-03-17,111.1,110.0,0.5426556957984329,,Buy,111.95,114.55,18499.99999999994,28500.000000000015,Yes
2015-03-18,112.0,108.95,1.47366193013115,,TP,,,28249.999999999956,56749.99999999997,Yes
2015-03-19,110.05,106.0,1.893202322615679,Sell,Sell,106.0,110.05,,56749.99999999997,Yes
2015-03-20,110.95,107.65,1.4151316264704619,,Sell,106.0,110.05,3750.000000000001,56749.99999999997,Yes
2015-03-23,111.55,111.4,0.24934405245444846,,Sell,106.0,110.05,19500.00000000003,56749.99999999997,Yes
2015-03-24,111.45,114.9,-0.9607457406629618,,TP,,,37500.0,94249.99999999997,Yes
2015-03-25,111.4,115.55,-1.1923623397117884,,,,,,94249.99999999997,Yes
2015-03-26,110.85,115.25,-1.2516615052110287,,,,,,94249.99999999997,Yes
2015-03-27,112.55,115.8,-0.8370692818392372,,,,,,94249.99999999997,Yes
2015-03-30,111.25,114.2,-0.8384624742659702,,,,,,94249.99999999997,Yes
2015-03-31,112.65,114.8,-0.4725019845412972,,,,,,94249.99999999997,Yes
2015-04-01,111.9,113.9,-0.33265986582954105,,,,,,94249.99999999997,Yes
2015-04-02,111.35,115.7,-0.9907824272825596,,,,,,94249.99999999997,Yes
2015-04-06,111.15,117.0,-1.5130157007818652,,,,,,94249.99999999997,Yes
2015-04-07,111.1,117.2,-1.8071626288701554,Buy,Buy,111.1,117.2,,94249.99999999997,Yes
2015-04-08,111.45,118.75,-2.555956717008982,Buy,Buy,111.1,117.2,-5999.999999999943,94249.99999999997,Yes
2015-04-09,110.45,120.0,-3.1709212155224886,Buy,SL,,,-17249.99999999994,77000.00000000003,Yes
2015-04-10,109.9,122.6,-3.398580959752734,,,,,,77000.00000000003,No
2015-04-13,110.1,124.5,-2.6182464525772167,,,,,,77000.00000000003,No
2015-04-14,110.6,123.35,-1.4551626639975448,,,,,,77000.00000000003,No
2015-04-15,111.65,123.7,-0.9931820643979039,,,,,,77000.00000000003,No
2015-04-16,113.95,124.75,-0.4607253006518653,,,,,,77000.00000000003,No
2015-04-17,114.2,127.5,-1.0037211767802028,,,,,,77000.00000000003,No
2015-04-20,114.35,127.15,-0.6764597479150247,,,,,,77000.00000000003,No
2015-04-21,114.95,127.5,-0.4047273914316959,,,,,,77000.00000000003,No
2015-04-22,114.65,128.25,-0.7500070453369055,,,,,,77000.00000000003,No
